Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.04537042283038704, 0.05060988445671237
13, 0.05300522305714654, 0.05676587163185587
16, 0.05731968558564478, 0.06314796603455836
19, 0.05645335720894031, 0.06168678750797194
22, 0.05756899867296661, 0.05901310511997768
24, 0.05982442622282067, 0.06112864591637436
25, 0.0590916218037508, 0.06201793437101403
28, 0.06199569524203375, 0.06333659580775669
29, 0.057848987297471524, 0.06130813910036671
30, 0.06188002398224914, 0.0652801544812261
31, 0.06033734349846605, 0.06169451032366072
34, 0.06358664486302333, 0.06462981554926658
35, 0.06196873354008176, 0.06526279994419643
37, 0.0649093282018915, 0.06775210010762117
40, 0.06514871406555175, 0.06455372401646206
43, 0.0646317625475767, 0.06411007005341199
46, 0.06650437883920339, 0.06977343189473054
49, 0.06622400184513777, 0.06946513273278061
50, 0.06599801237145249, 0.06661749703543526
7, 0.04072999737353089, 0.03993605633171237
8, 0.03982400894165039, 0.04162342305086097
9, 0.044431967010844044, 0.050224789989237885
