Number of clusters, Avarge Mean Score w2v, Avarge Mean Score glove, Avarge Mean Score fasttext,Average
7,0.010393165388191,-0.002173715263344,0.042713325433759,0.016977591852868
8,0.0194488151706,0.000853159087045,0.044419394123311,0.021573789460319
9,0.023308593161793,0.005467465805088,0.046709791256998,0.025161950074626
10,0.024485350472587,0.003810097480307,0.048684541663345,0.025659996538746
13,0.020936192822419,0.003864826938982,0.04684499767549,0.023882005812297
16,0.029026579856873,0.009825493875815,0.054510532106672,0.03112086861312
19,0.027538280548522,0.006915753033696,0.052299855331601,0.028917962971273
22,0.023644947979136,0.006218356343059,0.04727799934005,0.025713767887415
24,0.04400004678843,0.017815748234185,0.061726686257083,0.041180827093233
25,0.052429782914142,0.024946319027336,0.067232307901188,0.048202803280889
28,0.046900930043212,0.024816061331301,0.064685473873038,0.045467488415851
29,0.051135141908242,0.025536920304537,0.069316203622731,0.048662755278503
30,0.041454490752447,0.019553179306238,0.062232138393688,0.041079936150791
31,0.049075599655342,0.025702102528033,0.067536740130386,0.04743814743792
34,0.051505397233356,0.026570723328699,0.069067013615749,0.049047711392602
35,0.059151818990012,0.032844215782321,0.074817808724006,0.05560461449878
37,0.052023847846122,0.026366622270436,0.069989366147378,0.049459945421312
40,0.061460144821478,0.034113947829422,0.077179781388263,0.057584624679721
43,0.045786031533827,0.021464941638536,0.065942544452828,0.044397839208397
46,0.051808489416168,0.028324927412099,0.071556174439885,0.050563197089384
49,0.069906596446325,0.041287095801923,0.081756639651386,0.064316777299878
50,0.072435022097218,0.043311880312161,0.081956055185746,0.065900985865042
